sitetype,zcta5ce10,month,year,trip,cost,income,temp_avg,mdays
ADA Standard Full,97325,8,2019,1,91.19767,60139,68.699997,6
ADA Standard Full,97330,1,2018,1,102.48828,53610,57.099998,3
ADA Standard Full,97333,3,2019,1,40.654869,54354,58.599998,4
ADA Standard Full,97333,5,2023,1,128.01527,63119,59.299999,4
ADA Standard Full,97338,4,2022,1,62.266327,75417,55.5,3
ADA Standard Full,97338,7,2021,1,53.788963,66537,69.199997,3
ADA Standard Full,97338,8,2018,1,95.284439,61430,70.300003,2
ADA Standard Full,97338,8,2019,1,52.038204,61956,65.400002,3
ADA Standard Full,97347,2,2020,1,35.716087,39214,47.900002,2
ADA Standard Full,97347,10,2019,1,37.704735,42802,56.400002,3
ADA Standard Full,97355,5,2019,1,120.6805,53066,58.799999,3
ADA Standard Full,97374,9,2019,1,75.660561,66406,61.299999,10
ADA Standard Full,97378,7,2018,1,48.812519,53981,67.900002,2
ADA Standard Full,97383,2,2021,1,75.705002,65014,43.700001,2
ADA Standard Full,97383,3,2023,1,80.139732,71979,54.799999,4
ADA Standard Full,97386,3,2022,1,118.94701,61428,52.400002,2
ADA Standard Full,97386,9,2019,1,71.90448,48649,71.300003,7
ADA Standard Full,97386,11,2020,1,63.673347,52333,52.299999,4
ADA Standard Full,97396,4,2018,1,130.69647,51371,58,5
ADA Standard Full,97401,1,2023,1,125.5103,48256,63.200001,3
ADA Standard Full,97401,8,2023,1,65.846565,48256,71.400002,3
ADA Standard Full,97402,10,2022,1,75.519447,53836,67.099998,5
ADA Standard Full,97404,1,2023,1,105.64095,77772,50.099998,10
ADA Standard Full,97404,3,2022,2,163.23713700000002,77772,57.25,7
ADA Standard Full,97405,9,2022,1,99.570251,86613,68.199997,4
ADA Standard Full,97408,10,2022,1,104.45287,95674,71.400002,6
ADA Standard Full,97437,7,2022,1,110.94773,92039,67.099998,4
ADA Standard Full,97439,4,2019,1,46.759769,44608,59.700001,1
ADA Standard Full,97442,7,2018,1,156.35136,32895,65.5,1
ADA Standard Full,97444,3,2022,1,166.75653,62813,53.099998,3
ADA Standard Full,97446,5,2018,1,61.048931,49871,61.299999,2
ADA Standard Full,97465,4,2019,1,154.20224,34118,57.099998,3
ADA Standard Full,97471,5,2019,1,179.84044,52225,62.700001,3
ADA Standard Full,97471,7,2023,1,203.79469,65112,70.900002,3
ADA Standard Full,97478,10,2019,1,100.72549,61307,61,2
ADA Standard Full,97479,6,2021,1,113.71197,46856,85.900002,3
ADA Standard Full,97479,12,2020,1,114.94382,49549,51,3
ADA Standard Full,97487,4,2021,1,84.184669,59118,68.300003,3
ADA Standard Full,97487,8,2019,1,148.14151,55260,70.699997,4
ADA Standard Full,97520,6,2019,1,233.99687,59017,64,4
ADA Standard Full,97520,9,2018,1,278.12079,53250,64.599998,4
ADA Standard Full,97526,8,2023,1,208.41673,55214,68.199997,1
ADA Standard Full,97526,10,2021,2,263.322335,51395,57.75,5.5
ADA Standard Full,97527,12,2022,1,190.32988,59763,47.5,6
ADA Standard Full,97539,3,2021,1,255.96581,53962,54.200001,10
ADA Standard Full,97539,9,2019,1,185.27795,41049,71.900002,1
ADA Standard Full,97601,5,2022,1,223.71191,52951,53.5,2
ADA Standard Full,97601,7,2021,1,193.95802,45407,65.599998,2
ADA Standard Full,97603,8,2021,1,200.28052,56549,64.800003,3
ADA Standard Full,97630,8,2018,1,223.06201,41291,63.700001,4
ADA Standard Full,97701,7,2021,1,208.81003,68243,67.900002,1
ADA Standard Full,97701,10,2018,1,247.74762,65211,58.099998,1
ADA Standard Full,97702,11,2018,1,165.79498,66848,57.099998,10
ADA Standard Full,97707,6,2019,1,303.63843,69109,71.300003,7
ADA Standard Full,97707,6,2020,1,268.49808,69775,57.599998,5
ADA Standard Full,97707,10,2020,1,233.45111,69775,65.900002,3
ADA Standard Full,97741,4,2023,1,164.16113000000001,63474,61.200001,2
ADA Standard Full,97741,5,2019,1,144.1423,50417,59.799999,3
ADA Standard Full,97754,7,2019,1,209.23148,46327,65.5,1
ADA Standard Full,97754,11,2019,1,152.19669,46327,61.299999,3
ADA Standard Full,97756,2,2022,1,209.04822,77525,53.400002,2
ADA Standard Full,97756,6,2022,1,189.25972,77525,61.599998,4
ADA Standard Full,97756,8,2020,1,241.17747,66120,68.599998,5
ADA Standard Full,97756,10,2018,1,211.47661,59077,62.599998,4
ADA Standard Full,97882,9,2021,1,243.00787,51700,68.900002,10
ADA Standard Full,97914,7,2022,1,330.0022,45110,66.5,7
ADA Standard Full,98110,10,2019,1,368.43704,117990,59.5,2
ADA Standard Full,98303,9,2022,1,364.44196,92933,58.799999,4
ADA Standard Full,98338,9,2018,1,221.29826,76991,62.900002,2
ADA Standard Full,98373,12,2018,1,251.35684,71778,54.700001,1
ADA Standard Full,98418,8,2022,1,193.07005,73264,71.400002,1
ADA Standard Full,98466,3,2021,1,226.32173,81196,50.5,3
ADA Standard Full,98506,3,2023,1,225.25011,88512,52.099998,8
ADA Standard Full,98528,5,2019,1,210.17053,57235,59.5,5
ADA Standard Full,98528,6,2023,1,261.17874,80747,63,6
ADA Standard Full,98565,8,2020,1,164.55359,58611,67,3
ADA Standard Full,98584,8,2023,1,302.00589,69489,72.699997,4
ADA Standard Full,98632,7,2018,1,220.86227,44385,68.199997,6
ADA Standard Full,98660,8,2018,1,141.04576,48573,66.599998,1
ADA Standard Full,98662,8,2021,1,152.93739,77263,65.5,5
ADA Standard Full,98671,11,2021,1,203.6351,97692,59.599998,2
ADA Standard Full,98672,6,2022,1,202.18022,86250,63.799999,9
ADA Standard Full,98672,7,2019,1,159.66945,65549,72.300003,7
ADA Standard Full,98674,7,2023,1,163.42168,86937,64.599998,2
ADA Standard Full,98682,2,2023,1,127.71058,88697,43.599998,1
